File Name,Features
cat1.jpg,"[“eyes”, “nose”, “whiskers”, “beige”, “ears”,”tail”,”mouth”]"
cat2.jpg,"[“eyes”, “nose”, “whiskers”, “gray”, ”mouth”,”tongue”]"
cat3.jpg,"[“eyes”, “nose”, “whiskers”, “legs”, “orange”, “ears”,”tail”,”mouth”]"
cat4.jpg,"[“eyes”, “nose”, “whiskers”, “white”, “ears”,”mouth”]"
cat5.jpg,"[“eyes”, “nose”, “whiskers”, “white”, “ears”,”mouth”]"
cat6.jpg,"[“eyes”, “nose”, “whiskers”, “gray”, “ears”,”tongue”,”mouth”, “teeth”]"
cat7.jpg,"[“eyes”, “nose”, “whiskers”, “gray”, “ears”,”mouth”]"
cat8.png,"[“eyes”, “nose”, “whiskers”, “white”, “ears”,”legs”]"
cat9.jpg,"[ “nose”, “whiskers”, “gray”, “ears”,”tongue”, “teeth”, ”mouth”]"
cat10.jpg,"[ “nose”, “whiskers”, “white”, “ears”, ”mouth”, ”legs”, “tail”]"
cat11.jpg,"[“eyes”, “nose”, “gray”, “ears”,”mouth”, ”legs”,”tail”]"
cat12.jpg,"[“eyes”, “nose”, “whiskers”, “orange”, “ears”, ”mouth”, ”legs”]"
cat13.jpg,"[“eye”, “nose”, “whiskers”, “orange”, “ears”, ”mouth”]"
cat14.jpg,"[“eye”, “nose”, “gray”, “ears”, ”mouth”, ”legs”, “tail”]"
cat15.jpg,"[“eyes”, “nose”, “whiskers”, “gray”, “ears”,  ”mouth”, ”legs”]"
cat16.jpg,"[“eyes”, “nose”, “whiskers”, “orange”, “ears”, ”mouth”]"
cat17.jpg,"[“eyes”, “nose”, “whiskers”, “beige”, “ears”, ”mouth”, “paw”]"
cat18.jpg,"[“eyes”, “nose”, “whiskers”, “orange”, “ear”, ”mouth”, “legs”]"
cat19.jpg,"[“eyes”, “nose”, “whiskers”, “white”, “ears”, ”mouth”, “legs”, “tail”]"
cat20.jpg,"[“eyes”, “nose”, “whiskers”, “orange”, “ears”,”mouth”]"
cat21.jpg,"[“eyes”, “nose”, “whiskers”, “yellow”, “ears”, ”mouth”]"
cat22.jpg,"[“eyes”, “nose”, “whiskers”, “white”, “ears”, ”mouth”]"
cat23.jpg,"[“eyes”, “nose”, “whiskers”, “gray”, ”mouth”, “paw”]"
cat24.jpg,"[“eyes”, “nose”, “whiskers”, “gray”, “ears”, ”mouth”]"
cat25.jpg,"[ “gray”, “tail”, “ears”]"
cat26.jpg,"[“eyes”, “nose”, “whiskers”, “gray”, ”mouth”, “paw”, “tail”]"
cat27.jpg,"[“eye”, “nose”, “black”, “ears”, ”tail”]"
cat28.jpg,"[ “orange”, “whiskers”, “tail”, “ears”]"
cat29.jpg,"[ “orange”, “ears”]"
cat30.jpg,"[“eyes”, “nose”, “orange”, “whiskers”, “ears”,”mouth”]"
cat31.jpg,"[“nose”, “orange”, “whiskers”, “ears”,”mouth”, ”legs”,”tail”]"
cat32.jpg,"[“eyes”, “nose”, “gray”, “ears”,”mouth”, “teeth”, “tongue”, ”legs”,”tail”]"
cat33.jpg,"[“eyes”, “nose”, “orange”, “ears”, ”legs”]"
cat34.jpg,"[“eyes”, “nose”, “orange”, “whiskers”, “ears”, ”legs”,”tail”]"
cat35.jpg,"[“eyes”, “nose”, “white”, “whiskers”, “ears”, “mouth”, ”legs”,”tail”]"
cat36.jpg,"[“eyes”, “nose”, “white”, “ears”, “whiskers”, ”legs”,”tail”]"
cat37.jpg,"[“eyes”, “nose”, “white”, “ears”,”mouth”, “whiskers”, “tongue”, ”legs”,”tail”]"
cat38.png,"[“nose”, “gray”, “ears”,”mouth”, “whiskers”]"
cat39.jpg,"[“eyes”, “nose”, “beige”, “ears”,”whiskers”, ”legs”,”tail”]"
cat40.jpg,"[“eyes”, “nose”, “black”, “ears”,”whiskers”, ”legs”,”tail”]"
cat41.jpg,"[“eyes”, “nose”, “white”, “ears”, “mouth”, ”whiskers”, ”legs”]"
cat42.jpg,"[“eyes”, “nose”, “white”, “ears”, “mouth”,”whiskers”, ”legs”]"
cat43.jpg,"[“eyes”, “nose”, “black”, “ears”, “mouth”, ”whiskers”, ”legs”,”tail”]"
cat44.jpg,"[“eyes”, “nose”, “white”, “ears”, “mouth”, ”whiskers”]"
